nfhs4_state,nfhs4_statecode,SL_NO,ITEM_CATEGORY,region,measure,P0-05,P05-10,P10-20,P20-30,P30-40,P40-50,P50-60,P60-70,P70-80,P80-90,P90-95,P95-100,ALL
India,IN,32,non-food: total (16-31),Rural,MMRP,205.59,265.33,310.89,369.31,418.73,476.87,544.3,631.87,754.04,967.92,1339.79,2710.84,673.47
India,IN,33,total expenditure (15+32),Rural,MMRP,521.44,665.84,783.24,904.57,1017.8,1135.97,1266.08,1426.76,1645.36,2007.46,2556.33,4481.18,1429.96
India,IN,34,cooked meals recd. free in workpl.*,Rural,MMRP,0.23,0.3,0.83,0.58,0.68,1.32,1.25,1.53,1.45,1.84,2.6,14.07,1.81
India,IN,35,cooked meals recd. as assistance *,Rural,MMRP,17.12,19.56,20.85,20.8,24.33,22.8,23.04,22.82,20.89,18.57,14.28,9,20.41
India,IN,36,clothing & footwear (2nd hand) **,Rural,MMRP,0.45,0.33,0.4,0.4,0.56,0.58,0.44,0.42,0.37,0.41,0.37,0.22,0.43
India,IN,37,"books, journals, etc. (2nd hand) @",Rural,MMRP,0.12,0.15,0.28,0.26,0.27,0.35,0.31,0.43,0.24,0.41,0.54,0.72,0.33
India,IN,38,durables (2nd hand) $,Rural,MMRP,0.12,0.16,0.22,0.83,0.31,0.37,1.36,2.53,2.07,1.64,7.39,33.55,2.99
India,IN,1,cereal,Urban,MMRP,118.42,128.32,140.64,151.48,159.31,166.11,178.59,187.08,197.88,211.16,220.71,224.51,173.82
India,IN,2,gram,Urban,MMRP,0.98,1.24,1.64,2.17,2.28,2.85,2.74,3.36,3.91,3.88,4.62,5.43,2.9
India,IN,3,cereal substitutes,Urban,MMRP,0.22,0.27,0.6,0.74,1.15,1.29,1.55,1.43,1.65,1.67,2.34,1.65,1.23
India,IN,4,pulses and pulse products,Urban,MMRP,28.29,33.18,37.89,40.6,45.46,48.27,52.74,54.94,61.04,64.87,71.1,71.06,50.76
India,IN,5,milk and milk products,Urban,MMRP,37.96,61.83,84.46,111.41,136.71,159.55,185.76,209.15,244.58,277.26,347.87,420.8,184.31
India,IN,6,sugar,Urban,MMRP,14.53,18,20.34,22.72,25.59,26.93,28.55,30.18,31.61,33.47,38.18,37.49,27.35
India,IN,7,salt,Urban,MMRP,2.01,2.15,2.29,2.5,2.67,2.74,2.88,2.95,3.06,3.18,3.31,3.2,2.76
India,IN,8,edible oil,Urban,MMRP,34.76,44.91,50.67,56.57,62.86,67.41,73.31,78.19,83.25,88.53,96.72,102.55,70.03
India,IN,9,"egg, fish & meat",Urban,MMRP,24.05,40.1,52.84,66.48,80.74,83.7,93.95,104.96,114.03,150.04,161.47,200.76,95.99
India,IN,10,vegetables,Urban,MMRP,62.07,73.75,81.78,93.54,103.41,113.09,126.35,136.77,146.7,159.44,178.77,197.38,121.7
India,IN,11,fruits (fresh),Urban,MMRP,8.94,14.6,20.51,29.4,40.16,46.67,59.47,73.85,91.23,118.71,162.51,244.3,69.51
India,IN,12,fruits (dry),Urban,MMRP,2.02,3.45,5.4,7.72,11.34,13.06,16.86,20.03,25.99,36.47,53.38,79.72,20.61
India,IN,13,spices,Urban,MMRP,31.28,40.15,45.4,52.59,58.88,61.72,66.73,68.99,75.77,81.39,87.4,92.77,63.73
India,IN,14,"beverages, refreshments, etc.",Urban,MMRP,49.2,70.45,83.7,103.15,124.89,154.94,168.34,211.17,261.95,346.53,517.34,1177.52,236.18
India,IN,15,food: total (1-14),Urban,MMRP,414.73,532.4,628.17,741.07,855.47,948.34,1057.81,1183.05,1342.64,1576.6,1945.69,2859.12,1120.88
India,IN,16,"pan, tobacco & intoxicants",Urban,MMRP,17.36,22.78,27.36,31.31,36.75,34.69,39.77,48.77,47.18,55.6,66.81,96.22,42.3
India,IN,17,fuel and light,Urban,MMRP,80.17,95.45,108.24,122.85,140.46,153.1,163.95,180.7,205.58,237.89,298.36,417.79,175.86
India,IN,18,clothing & bedding,Urban,MMRP,47.93,56.99,69.6,84.94,97.04,113.17,126.46,144.02,165.83,201.82,280.77,430.4,141.09
India,IN,19,footwear,Urban,MMRP,7.69,9.98,11.8,15.17,17.51,20.63,23.86,27.98,31.25,39.49,51.84,81.98,26.34
India,IN,20,education,Urban,MMRP,16.32,25.26,37.59,53.92,72.01,100.84,125.49,158.01,220.37,326.22,491.57,908.12,181.5
India,IN,21,medical (institutional),Urban,MMRP,2.47,5.52,10.45,13.46,18.15,22.11,32.31,46.27,56,89.32,127.27,317.49,51.44
India,IN,22,medical (non-institutional),Urban,MMRP,18.69,27.57,36.45,45.52,55.49,64.7,87.38,94.08,114.81,142.94,215.45,341.11,94.27
India,IN,23,entertainment,Urban,MMRP,6.18,10.47,15.6,20.46,25.55,30.61,36.22,42.45,48.12,64.42,88.98,172.3,42.24
India,IN,24,minor durable-type goods,Urban,MMRP,1.1,1.44,1.95,2.94,3.75,4.51,5.19,8.38,8.04,13.04,23.67,36.43,7.91
India,IN,25,toilet articles,Urban,MMRP,18.66,22.92,28.05,33.72,40.16,45.43,50.52,58.04,66.83,79.4,102.28,159.67,55.39
India,IN,26,other household consumables,Urban,MMRP,14.43,17.74,22.69,27.57,33.28,39.52,42.5,49.63,57.78,69.75,90.69,126,46.71
India,IN,27,consum. services excl. conveyance,Urban,MMRP,23.34,31.37,39.31,51.02,64.13,79.38,91.72,118.88,157.71,227.01,377.19,854.18,147.21
India,IN,28,conveyance,Urban,MMRP,11.07,17.51,31.27,50.43,71.3,97.96,124.14,160.1,207.52,275.22,433.89,931.06,171.46
India,IN,29,rent,Urban,MMRP,7.3,12.03,24.03,33.67,50.31,73.26,100.65,129.38,184.5,261.26,386.22,1163.99,164.17
India,IN,30,taxes & cesses,Urban,MMRP,3.26,4.53,6.43,8.78,12.06,13.77,15.93,18.88,26.16,35.8,48.69,98.66,21.54
India,IN,31,durable goods,Urban,MMRP,9.8,14.96,19.11,25.88,31.44,45.64,56.64,79.32,122.55,196.84,320.71,1287.3,139.36
India,IN,32,non-food: total (16-31),Urban,MMRP,285.77,376.52,489.92,621.64,769.4,939.32,1122.72,1364.9,1720.22,2316.01,3404.37,7422.71,1508.78
India,IN,33,total expenditure (15+32),Urban,MMRP,700.5,908.92,1118.09,1362.69,1624.86,1887.65,2180.52,2547.94,3062.85,3892.6,5350.06,10281.84,2629.65
India,IN,34,cooked meals recd. free in workpl.*,Urban,MMRP,0.17,0.91,0.97,1.29,0.88,2.02,3.99,5.83,5.69,8.33,21.77,38.52,5.97
India,IN,35,cooked meals recd. as assistance *,Urban,MMRP,13.98,13.42,12.71,11.73,11.4,11.12,8.8,7.11,6.83,2.58,2.32,1.23,8.77
India,IN,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.6,0.72,0.72,0.56,0.67,0.34,0.34,0.32,0.29,0.23,0.24,0.92,0.47
India,IN,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.24,0.32,0.47,0.41,0.48,0.49,0.5,0.52,0.84,1.15,1.11,1.44,0.64
India,IN,38,durables (2nd hand) $,Urban,MMRP,0.35,0.39,0.41,1.39,0.99,1.23,2.16,2.03,2.79,5.42,14.91,39.63,4.41
