nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,measure,mpce
DN,Dadra & Nagar Haveli,30,taxes & cesses,Rural,URP,1.44
DD,Daman & Diu,30,taxes & cesses,Rural,URP,5.63
LK,Lakshadweep,30,taxes & cesses,Rural,URP,0.11
PY,Puducherry,30,taxes & cesses,Rural,URP,7.97
IN,India,30,taxes & cesses,Rural,URP,3.59
CH,Chandigarh,31,durable goods,Rural,URP,15.84
DN,Dadra & Nagar Haveli,31,durable goods,Rural,URP,49.62
DD,Daman & Diu,31,durable goods,Rural,URP,76.84
LK,Lakshadweep,31,durable goods,Rural,URP,811.92
PY,Puducherry,31,durable goods,Rural,URP,37.32
IN,India,31,durable goods,Rural,URP,78.14
CH,Chandigarh,32,non-food: total (16-31),Rural,URP,1402.49
DN,Dadra & Nagar Haveli,32,non-food: total (16-31),Rural,URP,495.76
DD,Daman & Diu,32,non-food: total (16-31),Rural,URP,1291.24
LK,Lakshadweep,32,non-food: total (16-31),Rural,URP,1596.82
PY,Puducherry,32,non-food: total (16-31),Rural,URP,1296.68
IN,India,32,non-food: total (16-31),Rural,URP,656.98
CH,Chandigarh,33,total expenditure (15+32),Rural,URP,2368.93
DN,Dadra & Nagar Haveli,33,total expenditure (15+32),Rural,URP,982.53
DD,Daman & Diu,33,total expenditure (15+32),Rural,URP,2277.65
LK,Lakshadweep,33,total expenditure (15+32),Rural,URP,2926.03
PY,Puducherry,33,total expenditure (15+32),Rural,URP,2287.61
IN,India,33,total expenditure (15+32),Rural,URP,1278.94
CH,Chandigarh,34,cooked meals recd. free in workpl.*,Rural,URP,3.54
DN,Dadra & Nagar Haveli,34,cooked meals recd. free in workpl.*,Rural,URP,0.4
DD,Daman & Diu,34,cooked meals recd. free in workpl.*,Rural,URP,0.02
LK,Lakshadweep,34,cooked meals recd. free in workpl.*,Rural,URP,0.47
PY,Puducherry,34,cooked meals recd. free in workpl.*,Rural,URP,8.01
IN,India,34,cooked meals recd. free in workpl.*,Rural,URP,1.61
CH,Chandigarh,35,cooked meals recd. as assistance *,Rural,URP,0
DN,Dadra & Nagar Haveli,35,cooked meals recd. as assistance *,Rural,URP,11.55
DD,Daman & Diu,35,cooked meals recd. as assistance *,Rural,URP,6.44
LK,Lakshadweep,35,cooked meals recd. as assistance *,Rural,URP,60.87
PY,Puducherry,35,cooked meals recd. as assistance *,Rural,URP,17.81
IN,India,35,cooked meals recd. as assistance *,Rural,URP,16.49
CH,Chandigarh,36,clothing & footwear (2nd hand) **,Rural,URP,0
DN,Dadra & Nagar Haveli,36,clothing & footwear (2nd hand) **,Rural,URP,0
DD,Daman & Diu,36,clothing & footwear (2nd hand) **,Rural,URP,0.08
LK,Lakshadweep,36,clothing & footwear (2nd hand) **,Rural,URP,0
PY,Puducherry,36,clothing & footwear (2nd hand) **,Rural,URP,0
IN,India,36,clothing & footwear (2nd hand) **,Rural,URP,0.28
CH,Chandigarh,37,"books, journals, etc. (2nd hand) @",Rural,URP,0
DN,Dadra & Nagar Haveli,37,"books, journals, etc. (2nd hand) @",Rural,URP,0
DD,Daman & Diu,37,"books, journals, etc. (2nd hand) @",Rural,URP,0
LK,Lakshadweep,37,"books, journals, etc. (2nd hand) @",Rural,URP,0
PY,Puducherry,37,"books, journals, etc. (2nd hand) @",Rural,URP,0
IN,India,37,"books, journals, etc. (2nd hand) @",Rural,URP,0.26
CH,Chandigarh,38,durables (2nd hand) $,Rural,URP,0
DN,Dadra & Nagar Haveli,38,durables (2nd hand) $,Rural,URP,0
DD,Daman & Diu,38,durables (2nd hand) $,Rural,URP,0
LK,Lakshadweep,38,durables (2nd hand) $,Rural,URP,0
PY,Puducherry,38,durables (2nd hand) $,Rural,URP,0
IN,India,38,durables (2nd hand) $,Rural,URP,3.12
AP,Andhra Pradesh,1,cereal,Urban,URP,216.03
AR,Arunachal Pradesh,1,cereal,Urban,URP,219.28
AS,Assam,1,cereal,Urban,URP,224.23
BR,Bihar,1,cereal,Urban,URP,191.63
CT,Chhattisgarh,1,cereal,Urban,URP,169.05
DL,NCT of Delhi,1,cereal,Urban,URP,160.74
AP,Andhra Pradesh,2,gram,Urban,URP,1.12
AR,Arunachal Pradesh,2,gram,Urban,URP,1.06
AS,Assam,2,gram,Urban,URP,1.55
BR,Bihar,2,gram,Urban,URP,3.38
CT,Chhattisgarh,2,gram,Urban,URP,1.56
DL,NCT of Delhi,2,gram,Urban,URP,3.87
AP,Andhra Pradesh,3,cereal substitutes,Urban,URP,0.03
AR,Arunachal Pradesh,3,cereal substitutes,Urban,URP,1.45
AS,Assam,3,cereal substitutes,Urban,URP,0
BR,Bihar,3,cereal substitutes,Urban,URP,0.02
CT,Chhattisgarh,3,cereal substitutes,Urban,URP,0.14
DL,NCT of Delhi,3,cereal substitutes,Urban,URP,0.06
AP,Andhra Pradesh,4,pulses and pulse products,Urban,URP,62.15
AR,Arunachal Pradesh,4,pulses and pulse products,Urban,URP,39.77
AS,Assam,4,pulses and pulse products,Urban,URP,47.06
BR,Bihar,4,pulses and pulse products,Urban,URP,38.04
CT,Chhattisgarh,4,pulses and pulse products,Urban,URP,46.52
DL,NCT of Delhi,4,pulses and pulse products,Urban,URP,55.23
AP,Andhra Pradesh,5,milk and milk products,Urban,URP,152.32
AR,Arunachal Pradesh,5,milk and milk products,Urban,URP,79.02
AS,Assam,5,milk and milk products,Urban,URP,81.28
BR,Bihar,5,milk and milk products,Urban,URP,118.64
CT,Chhattisgarh,5,milk and milk products,Urban,URP,73.27
DL,NCT of Delhi,5,milk and milk products,Urban,URP,311.88
AP,Andhra Pradesh,6,sugar,Urban,URP,20.94
AR,Arunachal Pradesh,6,sugar,Urban,URP,19.34
AS,Assam,6,sugar,Urban,URP,17.55
BR,Bihar,6,sugar,Urban,URP,18.29
CT,Chhattisgarh,6,sugar,Urban,URP,24.97
DL,NCT of Delhi,6,sugar,Urban,URP,33.33
AP,Andhra Pradesh,7,salt,Urban,URP,3.14
AR,Arunachal Pradesh,7,salt,Urban,URP,3.34
AS,Assam,7,salt,Urban,URP,3.17
BR,Bihar,7,salt,Urban,URP,2.74
CT,Chhattisgarh,7,salt,Urban,URP,3
DL,NCT of Delhi,7,salt,Urban,URP,2.69
AP,Andhra Pradesh,8,edible oil,Urban,URP,62.16
AR,Arunachal Pradesh,8,edible oil,Urban,URP,43.96
AS,Assam,8,edible oil,Urban,URP,62.39
BR,Bihar,8,edible oil,Urban,URP,50.41
CT,Chhattisgarh,8,edible oil,Urban,URP,53.07
DL,NCT of Delhi,8,edible oil,Urban,URP,70.09
AP,Andhra Pradesh,9,"egg, fish & meat",Urban,URP,85.16
AR,Arunachal Pradesh,9,"egg, fish & meat",Urban,URP,134.33
AS,Assam,9,"egg, fish & meat",Urban,URP,153.34
BR,Bihar,9,"egg, fish & meat",Urban,URP,37.14
CT,Chhattisgarh,9,"egg, fish & meat",Urban,URP,36.56
DL,NCT of Delhi,9,"egg, fish & meat",Urban,URP,33.77
AP,Andhra Pradesh,10,vegetables,Urban,URP,74.41
AR,Arunachal Pradesh,10,vegetables,Urban,URP,104.22
AS,Assam,10,vegetables,Urban,URP,84.23
BR,Bihar,10,vegetables,Urban,URP,67.94
CT,Chhattisgarh,10,vegetables,Urban,URP,92.47
DL,NCT of Delhi,10,vegetables,Urban,URP,94.86
AP,Andhra Pradesh,11,fruits (fresh),Urban,URP,41.73
AR,Arunachal Pradesh,11,fruits (fresh),Urban,URP,29.13
AS,Assam,11,fruits (fresh),Urban,URP,35.23
BR,Bihar,11,fruits (fresh),Urban,URP,19.66
CT,Chhattisgarh,11,fruits (fresh),Urban,URP,24.46
DL,NCT of Delhi,11,fruits (fresh),Urban,URP,40.27
AP,Andhra Pradesh,12,fruits (dry),Urban,URP,14.29
AR,Arunachal Pradesh,12,fruits (dry),Urban,URP,4.62
AS,Assam,12,fruits (dry),Urban,URP,5.27
BR,Bihar,12,fruits (dry),Urban,URP,4.73
CT,Chhattisgarh,12,fruits (dry),Urban,URP,7.19
DL,NCT of Delhi,12,fruits (dry),Urban,URP,14.84
AP,Andhra Pradesh,13,spices,Urban,URP,42.94
AR,Arunachal Pradesh,13,spices,Urban,URP,26
AS,Assam,13,spices,Urban,URP,28.78
BR,Bihar,13,spices,Urban,URP,23.72
CT,Chhattisgarh,13,spices,Urban,URP,28.75
DL,NCT of Delhi,13,spices,Urban,URP,40.6
AP,Andhra Pradesh,14,"beverages, refreshments, etc.",Urban,URP,162.62
AR,Arunachal Pradesh,14,"beverages, refreshments, etc.",Urban,URP,97.49
AS,Assam,14,"beverages, refreshments, etc.",Urban,URP,136.58
BR,Bihar,14,"beverages, refreshments, etc.",Urban,URP,58.33
CT,Chhattisgarh,14,"beverages, refreshments, etc.",Urban,URP,104.55
DL,NCT of Delhi,14,"beverages, refreshments, etc.",Urban,URP,264.17
AP,Andhra Pradesh,15,food: total (1-14),Urban,URP,939.05
AR,Arunachal Pradesh,15,food: total (1-14),Urban,URP,803
AS,Assam,15,food: total (1-14),Urban,URP,880.67
BR,Bihar,15,food: total (1-14),Urban,URP,634.66
CT,Chhattisgarh,15,food: total (1-14),Urban,URP,665.55
DL,NCT of Delhi,15,food: total (1-14),Urban,URP,1126.41
AP,Andhra Pradesh,16,"pan, tobacco & intoxicants",Urban,URP,50.12
AR,Arunachal Pradesh,16,"pan, tobacco & intoxicants",Urban,URP,70.97
AS,Assam,16,"pan, tobacco & intoxicants",Urban,URP,42.22
BR,Bihar,16,"pan, tobacco & intoxicants",Urban,URP,18.65
CT,Chhattisgarh,16,"pan, tobacco & intoxicants",Urban,URP,44.06
DL,NCT of Delhi,16,"pan, tobacco & intoxicants",Urban,URP,32.71
AP,Andhra Pradesh,17,fuel and light,Urban,URP,145.64
AR,Arunachal Pradesh,17,fuel and light,Urban,URP,171.58
AS,Assam,17,fuel and light,Urban,URP,156.74
BR,Bihar,17,fuel and light,Urban,URP,132.45
CT,Chhattisgarh,17,fuel and light,Urban,URP,144.89
DL,NCT of Delhi,17,fuel and light,Urban,URP,255.96
AP,Andhra Pradesh,18,clothing & bedding,Urban,URP,165.01
AR,Arunachal Pradesh,18,clothing & bedding,Urban,URP,259.38
AS,Assam,18,clothing & bedding,Urban,URP,106.15
BR,Bihar,18,clothing & bedding,Urban,URP,113.8
CT,Chhattisgarh,18,clothing & bedding,Urban,URP,103.59
DL,NCT of Delhi,18,clothing & bedding,Urban,URP,90.71
AP,Andhra Pradesh,19,footwear,Urban,URP,31.5
AR,Arunachal Pradesh,19,footwear,Urban,URP,53.22
AS,Assam,19,footwear,Urban,URP,31.25
BR,Bihar,19,footwear,Urban,URP,21.31
CT,Chhattisgarh,19,footwear,Urban,URP,21.79
DL,NCT of Delhi,19,footwear,Urban,URP,24.26
AP,Andhra Pradesh,20,education,Urban,URP,80.84
AR,Arunachal Pradesh,20,education,Urban,URP,73.21
AS,Assam,20,education,Urban,URP,107.36
BR,Bihar,20,education,Urban,URP,105.37
CT,Chhattisgarh,20,education,Urban,URP,58.87
DL,NCT of Delhi,20,education,Urban,URP,205.04
AP,Andhra Pradesh,21,medical (institutional),Urban,URP,32.83
AR,Arunachal Pradesh,21,medical (institutional),Urban,URP,25.34
AS,Assam,21,medical (institutional),Urban,URP,7.47
BR,Bihar,21,medical (institutional),Urban,URP,27.66
CT,Chhattisgarh,21,medical (institutional),Urban,URP,2.61
DL,NCT of Delhi,21,medical (institutional),Urban,URP,14.64
AP,Andhra Pradesh,22,medical (non-institutional),Urban,URP,109.77
AR,Arunachal Pradesh,22,medical (non-institutional),Urban,URP,67.88
AS,Assam,22,medical (non-institutional),Urban,URP,61.94
BR,Bihar,22,medical (non-institutional),Urban,URP,52.84
CT,Chhattisgarh,22,medical (non-institutional),Urban,URP,64.83
DL,NCT of Delhi,22,medical (non-institutional),Urban,URP,86.7
AP,Andhra Pradesh,23,entertainment,Urban,URP,50.71
AR,Arunachal Pradesh,23,entertainment,Urban,URP,60.07
AS,Assam,23,entertainment,Urban,URP,44.81
BR,Bihar,23,entertainment,Urban,URP,15.85
CT,Chhattisgarh,23,entertainment,Urban,URP,38.39
DL,NCT of Delhi,23,entertainment,Urban,URP,57.41
AP,Andhra Pradesh,24,minor durable-type goods,Urban,URP,6.06
AR,Arunachal Pradesh,24,minor durable-type goods,Urban,URP,18.68
AS,Assam,24,minor durable-type goods,Urban,URP,9.34
BR,Bihar,24,minor durable-type goods,Urban,URP,5.7
CT,Chhattisgarh,24,minor durable-type goods,Urban,URP,8.77
DL,NCT of Delhi,24,minor durable-type goods,Urban,URP,10.48
AP,Andhra Pradesh,25,toilet articles,Urban,URP,65.02
AR,Arunachal Pradesh,25,toilet articles,Urban,URP,76.26
AS,Assam,25,toilet articles,Urban,URP,50.14
BR,Bihar,25,toilet articles,Urban,URP,29.59
CT,Chhattisgarh,25,toilet articles,Urban,URP,51.84
DL,NCT of Delhi,25,toilet articles,Urban,URP,67.54
AP,Andhra Pradesh,26,other household consumables,Urban,URP,53.01
AR,Arunachal Pradesh,26,other household consumables,Urban,URP,38.39
AS,Assam,26,other household consumables,Urban,URP,32.76
BR,Bihar,26,other household consumables,Urban,URP,26.77
CT,Chhattisgarh,26,other household consumables,Urban,URP,41.46
DL,NCT of Delhi,26,other household consumables,Urban,URP,58.86
AP,Andhra Pradesh,27,consum. services excl. conveyance,Urban,URP,151.28
AR,Arunachal Pradesh,27,consum. services excl. conveyance,Urban,URP,148.25
AS,Assam,27,consum. services excl. conveyance,Urban,URP,121.38
BR,Bihar,27,consum. services excl. conveyance,Urban,URP,66.36
CT,Chhattisgarh,27,consum. services excl. conveyance,Urban,URP,102.81
DL,NCT of Delhi,27,consum. services excl. conveyance,Urban,URP,281.2
AP,Andhra Pradesh,28,conveyance,Urban,URP,176.91
AR,Arunachal Pradesh,28,conveyance,Urban,URP,98.74
AS,Assam,28,conveyance,Urban,URP,145.41
BR,Bihar,28,conveyance,Urban,URP,48.88
CT,Chhattisgarh,28,conveyance,Urban,URP,115.45
DL,NCT of Delhi,28,conveyance,Urban,URP,302.01
AP,Andhra Pradesh,29,rent,Urban,URP,265.33
AR,Arunachal Pradesh,29,rent,Urban,URP,87.57
AS,Assam,29,rent,Urban,URP,135.33
BR,Bihar,29,rent,Urban,URP,52.79
CT,Chhattisgarh,29,rent,Urban,URP,70.81
DL,NCT of Delhi,29,rent,Urban,URP,214
AP,Andhra Pradesh,30,taxes & cesses,Urban,URP,22.11
AR,Arunachal Pradesh,30,taxes & cesses,Urban,URP,12.31
AS,Assam,30,taxes & cesses,Urban,URP,10.46
BR,Bihar,30,taxes & cesses,Urban,URP,1.71
CT,Chhattisgarh,30,taxes & cesses,Urban,URP,16.16
DL,NCT of Delhi,30,taxes & cesses,Urban,URP,55.28
AP,Andhra Pradesh,31,durable goods,Urban,URP,156.4
AR,Arunachal Pradesh,31,durable goods,Urban,URP,157.68
AS,Assam,31,durable goods,Urban,URP,82.58
BR,Bihar,31,durable goods,Urban,URP,54.17
CT,Chhattisgarh,31,durable goods,Urban,URP,61.09
DL,NCT of Delhi,31,durable goods,Urban,URP,37.66
AP,Andhra Pradesh,32,non-food: total (16-31),Urban,URP,1562.54
AR,Arunachal Pradesh,32,non-food: total (16-31),Urban,URP,1419.53
AS,Assam,32,non-food: total (16-31),Urban,URP,1145.34
BR,Bihar,32,non-food: total (16-31),Urban,URP,773.89
CT,Chhattisgarh,32,non-food: total (16-31),Urban,URP,947.45
DL,NCT of Delhi,32,non-food: total (16-31),Urban,URP,1794.46
AP,Andhra Pradesh,33,total expenditure (15+32),Urban,URP,2501.59
AR,Arunachal Pradesh,33,total expenditure (15+32),Urban,URP,2222.53
AS,Assam,33,total expenditure (15+32),Urban,URP,2026.01
BR,Bihar,33,total expenditure (15+32),Urban,URP,1408.55
CT,Chhattisgarh,33,total expenditure (15+32),Urban,URP,1612.99
DL,NCT of Delhi,33,total expenditure (15+32),Urban,URP,2920.87
AP,Andhra Pradesh,34,cooked meals recd. free in workpl. *,Urban,URP,3.69
AR,Arunachal Pradesh,34,cooked meals recd. free in workpl. *,Urban,URP,1.47
AS,Assam,34,cooked meals recd. free in workpl. *,Urban,URP,5.48
BR,Bihar,34,cooked meals recd. free in workpl. *,Urban,URP,0.4
CT,Chhattisgarh,34,cooked meals recd. free in workpl. *,Urban,URP,2.33
DL,NCT of Delhi,34,cooked meals recd. free in workpl. *,Urban,URP,4.86
AP,Andhra Pradesh,35,cooked meals recd. as assistance *,Urban,URP,8.78
AR,Arunachal Pradesh,35,cooked meals recd. as assistance *,Urban,URP,0.3
AS,Assam,35,cooked meals recd. as assistance *,Urban,URP,6.23
BR,Bihar,35,cooked meals recd. as assistance *,Urban,URP,6.29
CT,Chhattisgarh,35,cooked meals recd. as assistance *,Urban,URP,17.56
DL,NCT of Delhi,35,cooked meals recd. as assistance *,Urban,URP,5.74
AP,Andhra Pradesh,36,clothing & footwear (2nd hand) **,Urban,URP,0.06
AR,Arunachal Pradesh,36,clothing & footwear (2nd hand) **,Urban,URP,15.21
AS,Assam,36,clothing & footwear (2nd hand) **,Urban,URP,0.11
BR,Bihar,36,clothing & footwear (2nd hand) **,Urban,URP,0.01
CT,Chhattisgarh,36,clothing & footwear (2nd hand) **,Urban,URP,0.11
DL,NCT of Delhi,36,clothing & footwear (2nd hand) **,Urban,URP,0.5
AP,Andhra Pradesh,37,"books, journals, etc. (2nd hand) @",Urban,URP,0.41
AR,Arunachal Pradesh,37,"books, journals, etc. (2nd hand) @",Urban,URP,0
AS,Assam,37,"books, journals, etc. (2nd hand) @",Urban,URP,0.15
BR,Bihar,37,"books, journals, etc. (2nd hand) @",Urban,URP,0.38
CT,Chhattisgarh,37,"books, journals, etc. (2nd hand) @",Urban,URP,0.22
DL,NCT of Delhi,37,"books, journals, etc. (2nd hand) @",Urban,URP,0.89
AP,Andhra Pradesh,38,durables (2nd hand) $,Urban,URP,3.24
AR,Arunachal Pradesh,38,durables (2nd hand) $,Urban,URP,0.53
AS,Assam,38,durables (2nd hand) $,Urban,URP,0.04
BR,Bihar,38,durables (2nd hand) $,Urban,URP,0.74
CT,Chhattisgarh,38,durables (2nd hand) $,Urban,URP,0.49
DL,NCT of Delhi,38,durables (2nd hand) $,Urban,URP,2.9
GA,Goa,1,cereal,Urban,URP,201.08
GJ,Gujarat,1,cereal,Urban,URP,155.55
HR,Haryana,1,cereal,Urban,URP,142.18
HP,Himachal Pradesh,1,cereal,Urban,URP,198.48
JK,Jammu & Kashmir,1,cereal,Urban,URP,218.99
JH,Jharkhand,1,cereal,Urban,URP,211.46
GA,Goa,2,gram,Urban,URP,5.53
GJ,Gujarat,2,gram,Urban,URP,3.08
HR,Haryana,2,gram,Urban,URP,5.98
HP,Himachal Pradesh,2,gram,Urban,URP,9.62
JK,Jammu & Kashmir,2,gram,Urban,URP,3.47
JH,Jharkhand,2,gram,Urban,URP,7.3
GA,Goa,3,cereal substitutes,Urban,URP,0
GJ,Gujarat,3,cereal substitutes,Urban,URP,0.79
HR,Haryana,3,cereal substitutes,Urban,URP,0
HP,Himachal Pradesh,3,cereal substitutes,Urban,URP,0.08
JK,Jammu & Kashmir,3,cereal substitutes,Urban,URP,0.24
JH,Jharkhand,3,cereal substitutes,Urban,URP,0.02
GA,Goa,4,pulses and pulse products,Urban,URP,38.07
GJ,Gujarat,4,pulses and pulse products,Urban,URP,53.61
HR,Haryana,4,pulses and pulse products,Urban,URP,52.06
HP,Himachal Pradesh,4,pulses and pulse products,Urban,URP,72.96
JK,Jammu & Kashmir,4,pulses and pulse products,Urban,URP,40.27
JH,Jharkhand,4,pulses and pulse products,Urban,URP,40.44
GA,Goa,5,milk and milk products,Urban,URP,222.9
GJ,Gujarat,5,milk and milk products,Urban,URP,278.68
HR,Haryana,5,milk and milk products,Urban,URP,434.2
HP,Himachal Pradesh,5,milk and milk products,Urban,URP,305.22
JK,Jammu & Kashmir,5,milk and milk products,Urban,URP,254.63
JH,Jharkhand,5,milk and milk products,Urban,URP,124.72
GA,Goa,6,sugar,Urban,URP,29.24
GJ,Gujarat,6,sugar,Urban,URP,35.83
HR,Haryana,6,sugar,Urban,URP,46.65
HP,Himachal Pradesh,6,sugar,Urban,URP,35.05
JK,Jammu & Kashmir,6,sugar,Urban,URP,16.49
JH,Jharkhand,6,sugar,Urban,URP,20.85
GA,Goa,7,salt,Urban,URP,3.06
GJ,Gujarat,7,salt,Urban,URP,2.1
HR,Haryana,7,salt,Urban,URP,3.1
HP,Himachal Pradesh,7,salt,Urban,URP,2.15
JK,Jammu & Kashmir,7,salt,Urban,URP,4.19
JH,Jharkhand,7,salt,Urban,URP,3.18
GA,Goa,8,edible oil,Urban,URP,56.46
GJ,Gujarat,8,edible oil,Urban,URP,100.03
HR,Haryana,8,edible oil,Urban,URP,54.67
HP,Himachal Pradesh,8,edible oil,Urban,URP,60.47
JK,Jammu & Kashmir,8,edible oil,Urban,URP,81.21
JH,Jharkhand,8,edible oil,Urban,URP,57.9
GA,Goa,9,"egg, fish & meat",Urban,URP,235.65
GJ,Gujarat,9,"egg, fish & meat",Urban,URP,23.54
HR,Haryana,9,"egg, fish & meat",Urban,URP,17.43
HP,Himachal Pradesh,9,"egg, fish & meat",Urban,URP,42.54
JK,Jammu & Kashmir,9,"egg, fish & meat",Urban,URP,89.34
JH,Jharkhand,9,"egg, fish & meat",Urban,URP,53.16
GA,Goa,10,vegetables,Urban,URP,57.01
GJ,Gujarat,10,vegetables,Urban,URP,101.15
HR,Haryana,10,vegetables,Urban,URP,94.16
HP,Himachal Pradesh,10,vegetables,Urban,URP,98.95
JK,Jammu & Kashmir,10,vegetables,Urban,URP,92.68
JH,Jharkhand,10,vegetables,Urban,URP,86.4
GA,Goa,11,fruits (fresh),Urban,URP,115.1
GJ,Gujarat,11,fruits (fresh),Urban,URP,38.71
HR,Haryana,11,fruits (fresh),Urban,URP,63.43
HP,Himachal Pradesh,11,fruits (fresh),Urban,URP,48.69
JK,Jammu & Kashmir,11,fruits (fresh),Urban,URP,35.6
JH,Jharkhand,11,fruits (fresh),Urban,URP,26.9
GA,Goa,12,fruits (dry),Urban,URP,10.12
GJ,Gujarat,12,fruits (dry),Urban,URP,18
HR,Haryana,12,fruits (dry),Urban,URP,17.07
HP,Himachal Pradesh,12,fruits (dry),Urban,URP,22.61
JK,Jammu & Kashmir,12,fruits (dry),Urban,URP,7.21
JH,Jharkhand,12,fruits (dry),Urban,URP,7.7
GA,Goa,13,spices,Urban,URP,38.74
GJ,Gujarat,13,spices,Urban,URP,39.54
HR,Haryana,13,spices,Urban,URP,35.46
HP,Himachal Pradesh,13,spices,Urban,URP,39.36
JK,Jammu & Kashmir,13,spices,Urban,URP,40.73
JH,Jharkhand,13,spices,Urban,URP,29.1
GA,Goa,14,"beverages, refreshments, etc.",Urban,URP,126.62
GJ,Gujarat,14,"beverages, refreshments, etc.",Urban,URP,165.76
HR,Haryana,14,"beverages, refreshments, etc.",Urban,URP,180.06
HP,Himachal Pradesh,14,"beverages, refreshments, etc.",Urban,URP,197.93
JK,Jammu & Kashmir,14,"beverages, refreshments, etc.",Urban,URP,112.95
JH,Jharkhand,14,"beverages, refreshments, etc.",Urban,URP,117.2
GA,Goa,15,food: total (1-14),Urban,URP,1139.57
GJ,Gujarat,15,food: total (1-14),Urban,URP,1016.34
HR,Haryana,15,food: total (1-14),Urban,URP,1146.45
HP,Himachal Pradesh,15,food: total (1-14),Urban,URP,1134.11
JK,Jammu & Kashmir,15,food: total (1-14),Urban,URP,998.01
JH,Jharkhand,15,food: total (1-14),Urban,URP,786.34
GA,Goa,16,"pan, tobacco & intoxicants",Urban,URP,11.27
GJ,Gujarat,16,"pan, tobacco & intoxicants",Urban,URP,39.58
HR,Haryana,16,"pan, tobacco & intoxicants",Urban,URP,23.86
HP,Himachal Pradesh,16,"pan, tobacco & intoxicants",Urban,URP,52.18
JK,Jammu & Kashmir,16,"pan, tobacco & intoxicants",Urban,URP,22.2
JH,Jharkhand,16,"pan, tobacco & intoxicants",Urban,URP,23.6
GA,Goa,17,fuel and light,Urban,URP,174.1
GJ,Gujarat,17,fuel and light,Urban,URP,204.29
HR,Haryana,17,fuel and light,Urban,URP,246.76
HP,Himachal Pradesh,17,fuel and light,Urban,URP,179.42
JK,Jammu & Kashmir,17,fuel and light,Urban,URP,156.91
JH,Jharkhand,17,fuel and light,Urban,URP,135.92
GA,Goa,18,clothing & bedding,Urban,URP,198.83
GJ,Gujarat,18,clothing & bedding,Urban,URP,136.46
HR,Haryana,18,clothing & bedding,Urban,URP,190.05
HP,Himachal Pradesh,18,clothing & bedding,Urban,URP,173.84
JK,Jammu & Kashmir,18,clothing & bedding,Urban,URP,190.15
JH,Jharkhand,18,clothing & bedding,Urban,URP,160.29
GA,Goa,19,footwear,Urban,URP,70.99
GJ,Gujarat,19,footwear,Urban,URP,36.7
HR,Haryana,19,footwear,Urban,URP,63.78
HP,Himachal Pradesh,19,footwear,Urban,URP,64.3
JK,Jammu & Kashmir,19,footwear,Urban,URP,48.41
JH,Jharkhand,19,footwear,Urban,URP,21.51
GA,Goa,20,education,Urban,URP,42.87
GJ,Gujarat,20,education,Urban,URP,80.13
HR,Haryana,20,education,Urban,URP,313.05
HP,Himachal Pradesh,20,education,Urban,URP,222.36
JK,Jammu & Kashmir,20,education,Urban,URP,157.63
JH,Jharkhand,20,education,Urban,URP,211.48
GA,Goa,21,medical (institutional),Urban,URP,38.19
GJ,Gujarat,21,medical (institutional),Urban,URP,22.72
HR,Haryana,21,medical (institutional),Urban,URP,27.69
HP,Himachal Pradesh,21,medical (institutional),Urban,URP,18.39
JK,Jammu & Kashmir,21,medical (institutional),Urban,URP,24.16
JH,Jharkhand,21,medical (institutional),Urban,URP,21.44
GA,Goa,22,medical (non-institutional),Urban,URP,114.26
GJ,Gujarat,22,medical (non-institutional),Urban,URP,71.61
HR,Haryana,22,medical (non-institutional),Urban,URP,112.68
HP,Himachal Pradesh,22,medical (non-institutional),Urban,URP,133.98
JK,Jammu & Kashmir,22,medical (non-institutional),Urban,URP,89.02
JH,Jharkhand,22,medical (non-institutional),Urban,URP,58.83
GA,Goa,23,entertainment,Urban,URP,91.22
GJ,Gujarat,23,entertainment,Urban,URP,51.76
HR,Haryana,23,entertainment,Urban,URP,56.8
HP,Himachal Pradesh,23,entertainment,Urban,URP,59.95
JK,Jammu & Kashmir,23,entertainment,Urban,URP,37.11
JH,Jharkhand,23,entertainment,Urban,URP,34.83
GA,Goa,24,minor durable-type goods,Urban,URP,22.17
GJ,Gujarat,24,minor durable-type goods,Urban,URP,11.29
HR,Haryana,24,minor durable-type goods,Urban,URP,9.32
HP,Himachal Pradesh,24,minor durable-type goods,Urban,URP,4.09
JK,Jammu & Kashmir,24,minor durable-type goods,Urban,URP,7.21
JH,Jharkhand,24,minor durable-type goods,Urban,URP,9.54
GA,Goa,25,toilet articles,Urban,URP,85.83
GJ,Gujarat,25,toilet articles,Urban,URP,54.52
HR,Haryana,25,toilet articles,Urban,URP,67.25
HP,Himachal Pradesh,25,toilet articles,Urban,URP,60.36
JK,Jammu & Kashmir,25,toilet articles,Urban,URP,45.61
JH,Jharkhand,25,toilet articles,Urban,URP,52.32
GA,Goa,26,other household consumables,Urban,URP,58.96
GJ,Gujarat,26,other household consumables,Urban,URP,46.06
HR,Haryana,26,other household consumables,Urban,URP,58.74
HP,Himachal Pradesh,26,other household consumables,Urban,URP,50.56
JK,Jammu & Kashmir,26,other household consumables,Urban,URP,39.5
JH,Jharkhand,26,other household consumables,Urban,URP,39.74
GA,Goa,27,consum. services excl. conveyance,Urban,URP,215.87
GJ,Gujarat,27,consum. services excl. conveyance,Urban,URP,143.86
HR,Haryana,27,consum. services excl. conveyance,Urban,URP,209.59
